type,crimes,year
theft_vehicle_lorry,3050,2016
theft_vehicle_lorry,2102,2017
theft_vehicle_lorry,1761,2018
theft_vehicle_lorry,1549,2019
theft_vehicle_lorry,921,2020
theft_vehicle_lorry,639,2021
theft_vehicle_lorry,718,2022
theft_vehicle_motorcar,10607,2016
theft_vehicle_motorcar,8480,2017
theft_vehicle_motorcar,7413,2018
theft_vehicle_motorcar,6817,2019
theft_vehicle_motorcar,4599,2020
theft_vehicle_motorcar,2849,2021
theft_vehicle_motorcar,3271,2022
theft_vehicle_motorcycle,34754,2016
theft_vehicle_motorcycle,31577,2017
theft_vehicle_motorcycle,26779,2018
theft_vehicle_motorcycle,22501,2019
theft_vehicle_motorcycle,16059,2020
theft_vehicle_motorcycle,9944,2021
theft_vehicle_motorcycle,10457,2022
