state,type,crimes,Year
Johor,causing_injury,708,2016
Johor,causing_injury,614,2017
Johor,causing_injury,578,2018
Johor,causing_injury,599,2019
Johor,causing_injury,447,2020
Johor,causing_injury,365,2021
Johor,causing_injury,333,2022
Johor,causing_injury,366,2023
Johor,murder,70,2016
Johor,murder,66,2017
Johor,murder,43,2018
Johor,murder,35,2019
Johor,murder,36,2020
Johor,murder,21,2021
Johor,murder,30,2022
Johor,murder,31,2023
Johor,rape,274,2016
Johor,rape,196,2017
Johor,rape,187,2018
Johor,rape,206,2019
Johor,rape,164,2020
Johor,rape,144,2021
Johor,rape,147,2022
Johor,rape,194,2023
Johor,robbery_gang_armed,10,2016
Johor,robbery_gang_armed,1,2017
Johor,robbery_gang_armed,2,2018
Johor,robbery_gang_armed,1,2019
Johor,robbery_gang_armed,1,2020
Johor,robbery_gang_armed,1,2021
Johor,robbery_gang_armed,0,2022
Johor,robbery_gang_armed,0,2023
Johor,robbery_gang_unarmed,1308,2016
Johor,robbery_gang_unarmed,1220,2017
Johor,robbery_gang_unarmed,740,2018
Johor,robbery_gang_unarmed,753,2019
Johor,robbery_gang_unarmed,257,2020
Johor,robbery_gang_unarmed,256,2021
Johor,robbery_gang_unarmed,270,2022
Johor,robbery_gang_unarmed,394,2023
Johor,robbery_solo_armed,3,2016
Johor,robbery_solo_armed,0,2017
Johor,robbery_solo_armed,0,2018
Johor,robbery_solo_armed,1,2019
Johor,robbery_solo_armed,0,2020
Johor,robbery_solo_armed,0,2021
Johor,robbery_solo_armed,0,2022
Johor,robbery_solo_armed,0,2023
Johor,robbery_solo_unarmed,447,2016
Johor,robbery_solo_unarmed,481,2017
Johor,robbery_solo_unarmed,330,2018
Johor,robbery_solo_unarmed,328,2019
Johor,robbery_solo_unarmed,479,2020
Johor,robbery_solo_unarmed,138,2021
Johor,robbery_solo_unarmed,193,2022
Johor,robbery_solo_unarmed,243,2023
Johor,break_in,1475,2016
Johor,break_in,1211,2017
Johor,break_in,1239,2018
Johor,break_in,1364,2019
Johor,break_in,1273,2020
Johor,break_in,883,2021
Johor,break_in,767,2022
Johor,break_in,993,2023
Johor,theft_other,2117,2016
Johor,theft_other,2043,2017
Johor,theft_other,2025,2018
Johor,theft_other,1912,2019
Johor,theft_other,1403,2020
Johor,theft_other,942,2021
Johor,theft_other,1041,2022
Johor,theft_other,1335,2023
Johor,theft_vehicle_lorry,400,2016
Johor,theft_vehicle_lorry,274,2017
Johor,theft_vehicle_lorry,278,2018
Johor,theft_vehicle_lorry,219,2019
Johor,theft_vehicle_lorry,141,2020
Johor,theft_vehicle_lorry,71,2021
Johor,theft_vehicle_lorry,73,2022
Johor,theft_vehicle_lorry,69,2023
Johor,theft_vehicle_motorcar,1443,2016
Johor,theft_vehicle_motorcar,1097,2017
Johor,theft_vehicle_motorcar,1035,2018
Johor,theft_vehicle_motorcar,981,2019
Johor,theft_vehicle_motorcar,802,2020
Johor,theft_vehicle_motorcar,400,2021
Johor,theft_vehicle_motorcar,429,2022
Johor,theft_vehicle_motorcar,415,2023
Johor,theft_vehicle_motorcycle,4686,2016
Johor,theft_vehicle_motorcycle,4104,2017
Johor,theft_vehicle_motorcycle,3881,2018
Johor,theft_vehicle_motorcycle,3471,2019
Johor,theft_vehicle_motorcycle,2347,2020
Johor,theft_vehicle_motorcycle,1144,2021
Johor,theft_vehicle_motorcycle,1179,2022
Johor,theft_vehicle_motorcycle,1290,2023
Johor,causing_injury,39,2016
Johor,causing_injury,41,2017
Johor,causing_injury,28,2018
Johor,causing_injury,41,2019
Johor,causing_injury,43,2020
Johor,causing_injury,22,2021
Johor,causing_injury,19,2022
Johor,causing_injury,22,2023
Johor,murder,6,2016
Johor,murder,0,2017
Johor,murder,3,2018
Johor,murder,3,2019
Johor,murder,3,2020
Johor,murder,0,2021
Johor,murder,3,2022
Johor,murder,4,2023
Johor,rape,29,2016
Johor,rape,23,2017
Johor,rape,13,2018
Johor,rape,29,2019
Johor,rape,16,2020
Johor,rape,18,2021
Johor,rape,13,2022
Johor,rape,19,2023
Johor,robbery_gang_armed,1,2016
Johor,robbery_gang_armed,0,2017
Johor,robbery_gang_armed,0,2018
Johor,robbery_gang_armed,0,2019
Johor,robbery_gang_armed,0,2020
Johor,robbery_gang_armed,0,2021
Johor,robbery_gang_armed,0,2022
Johor,robbery_gang_armed,0,2023
Johor,robbery_gang_unarmed,56,2016
Johor,robbery_gang_unarmed,47,2017
Johor,robbery_gang_unarmed,33,2018
Johor,robbery_gang_unarmed,37,2019
Johor,robbery_gang_unarmed,32,2020
Johor,robbery_gang_unarmed,9,2021
Johor,robbery_gang_unarmed,5,2022
Johor,robbery_gang_unarmed,16,2023
Johor,robbery_solo_armed,1,2016
Johor,robbery_solo_armed,0,2017
Johor,robbery_solo_armed,0,2018
Johor,robbery_solo_armed,0,2019
Johor,robbery_solo_armed,0,2020
Johor,robbery_solo_armed,0,2021
Johor,robbery_solo_armed,0,2022
Johor,robbery_solo_armed,0,2023
Johor,robbery_solo_unarmed,28,2016
Johor,robbery_solo_unarmed,12,2017
Johor,robbery_solo_unarmed,27,2018
Johor,robbery_solo_unarmed,29,2019
Johor,robbery_solo_unarmed,33,2020
Johor,robbery_solo_unarmed,11,2021
Johor,robbery_solo_unarmed,12,2022
Johor,robbery_solo_unarmed,27,2023
Johor,break_in,115,2016
Johor,break_in,90,2017
Johor,break_in,158,2018
Johor,break_in,157,2019
Johor,break_in,122,2020
Johor,break_in,55,2021
Johor,break_in,80,2022
Johor,break_in,87,2023
Johor,theft_other,192,2016
Johor,theft_other,119,2017
Johor,theft_other,140,2018
Johor,theft_other,127,2019
Johor,theft_other,122,2020
Johor,theft_other,72,2021
Johor,theft_other,83,2022
Johor,theft_other,109,2023
Johor,theft_vehicle_lorry,16,2016
Johor,theft_vehicle_lorry,10,2017
Johor,theft_vehicle_lorry,15,2018
Johor,theft_vehicle_lorry,4,2019
Johor,theft_vehicle_lorry,12,2020
Johor,theft_vehicle_lorry,2,2021
Johor,theft_vehicle_lorry,7,2022
Johor,theft_vehicle_lorry,8,2023
Johor,theft_vehicle_motorcar,41,2016
Johor,theft_vehicle_motorcar,52,2017
Johor,theft_vehicle_motorcar,46,2018
Johor,theft_vehicle_motorcar,28,2019
Johor,theft_vehicle_motorcar,38,2020
Johor,theft_vehicle_motorcar,12,2021
Johor,theft_vehicle_motorcar,16,2022
Johor,theft_vehicle_motorcar,13,2023
Johor,theft_vehicle_motorcycle,257,2016
Johor,theft_vehicle_motorcycle,287,2017
Johor,theft_vehicle_motorcycle,225,2018
